Sentença,Intenção,Normalização,Tokenização,Remoção_Stopwords,Lematização,GloVe,Word2Vec_CBOW,Word2Vec_Skip,FastText_CBOW,FastText_Skip,Votos,Eleito,Intenção_correspondente
tendência de aluguel,venda_aluguel,tendência de aluguel,"['tendência', 'de', 'aluguel']","['tendência', 'aluguel']","['tendência', 'aluguel']",190.0,190.0,190.0,190.0,190.0,5,190.0,venda_aluguel
tendência de multas,multa,tendência de multas,"['tendência', 'de', 'multas']","['tendência', 'multas']","['tendência', 'multar']",59.0,76.0,59.0,79.0,59.0,3,59.0,diminuicao_poluicao
como esta o uso de produtos?,uso_produtos,como esta o uso de produtos?,"['como', 'esta', 'o', 'uso', 'de', 'produtos']","['uso', 'produtos']","['usar', 'produto']",180.0,180.0,180.0,180.0,180.0,5,180.0,uso_produtos
estou bem e você?,apresentacao,estou bem e você?,"['estou', 'bem', 'e', 'você']",['bem'],['bem'],13.0,13.0,183.0,13.0,101.0,3,13.0,apresentacao
oi,apresentacao,oi,['oi'],['oi'],['oi'],18.0,18.0,18.0,18.0,18.0,5,18.0,apresentacao
olá,apresentacao,olá,['olá'],['olá'],['olá'],67.0,71.0,12.0,67.0,12.0,2,67.0,encerramento_nao
gostaria de um conselho para aumentar minha produção,aumento_producao,gostaria de um conselho para aumentar minha produção,"['gostaria', 'de', 'um', 'conselho', 'para', 'aumentar', 'minha', 'produção']","['gostaria', 'conselho', 'aumentar', 'produção']","['gostar', 'conselho', 'aumentar', 'produção']",51.0,49.0,51.0,51.0,51.0,4,51.0,aumento_producao
dicas para aumentar a produtividade,aumento_producao,dicas para aumentar a produtividade,"['dicas', 'para', 'aumentar', 'a', 'produtividade']","['dicas', 'aumentar', 'produtividade']","['dica', 'aumentar', 'produtividade']",55.0,55.0,45.0,52.0,45.0,2,55.0,aumento_producao
o que os agricultores andam utilizando nas plantações?,uso_produtos,o que os agricultores andam utilizando nas plantações?,"['o', 'que', 'os', 'agricultores', 'andam', 'utilizando', 'nas', 'plantações']","['agricultores', 'andam', 'utilizando', 'plantações']","['agricultor', 'andar', 'utilizar', 'plantação']",173.0,173.0,173.0,173.0,173.0,5,173.0,uso_produtos
qual é a tendência do uso de produtos orgânicos?,producao_organica,qual é a tendência do uso de produtos orgânicos?,"['qual', 'é', 'a', 'tendência', 'do', 'uso', 'de', 'produtos', 'orgânicos']","['tendência', 'uso', 'produtos', 'orgânicos']","['tendência', 'usar', 'produto', 'orgânico']",166.0,166.0,137.0,166.0,181.0,3,166.0,uso_produtos
uso de produtos,uso_produtos,uso de produtos,"['uso', 'de', 'produtos']","['uso', 'produtos']","['usar', 'produto']",170.0,170.0,170.0,170.0,170.0,5,170.0,uso_produtos
quero realizar uma previsão de poluição,previsao_poluicao,quero realizar uma previsão de poluição,"['quero', 'realizar', 'uma', 'previsão', 'de', 'poluição']","['quero', 'realizar', 'previsão', 'poluição']","['querer', 'realizar', 'previsão', 'poluição']",109.0,109.0,113.0,109.0,113.0,3,109.0,previsao_poluicao
o meu agente é vereador,apresentacao_agente_vereador,o meu agente é vereador,"['o', 'meu', 'agente', 'é', 'vereador']","['agente', 'vereador']","['agente', 'vereador']",20.0,28.0,20.0,20.0,20.0,4,20.0,apresentacao_agente_prefeito
gostaria de saber uma previsão para poluição para me auxiliar na tomada de decisão previsao_poluicao,,gostaria de saber uma previsão para poluição para me auxiliar na tomada de decisão previsao_poluicao,"['gostaria', 'de', 'saber', 'uma', 'previsão', 'para', 'poluição', 'para', 'me', 'auxiliar', 'na', 'tomada', 'de', 'decisão', 'previsao_poluicao']","['gostaria', 'saber', 'previsão', 'poluição', 'auxiliar', 'tomada', 'decisão', 'previsao_poluicao']","['gostar', 'saber', 'previsão', 'poluição', 'auxiliar', 'tomar', 'decisão', 'previsao_poluicao']",124.0,124.0,124.0,124.0,124.0,5,124.0,previsao_poluicao
quero saber o que fazer tendo em vista a diminuição de poluição,diminuicao_poluicao,quero saber o que fazer tendo em vista a diminuição de poluição,"['quero', 'saber', 'o', 'que', 'fazer', 'tendo', 'em', 'vista', 'a', 'diminuição', 'de', 'poluição']","['quero', 'saber', 'fazer', 'tendo', 'vista', 'diminuição', 'poluição']","['querer', 'saber', 'fazer', 'ter', 'visto', 'diminuição', 'poluição']",66.0,66.0,66.0,116.0,66.0,4,66.0,diminuicao_poluicao
quero saber sobre as tendências de ganho da prefeitura,arrecadacao_imposto,quero saber sobre as tendências de ganho da prefeitura,"['quero', 'saber', 'sobre', 'as', 'tendências', 'de', 'ganho', 'da', 'prefeitura']","['quero', 'saber', 'sobre', 'tendências', 'ganho', 'prefeitura']","['querer', 'saber', 'sobrar', 'tendência', 'ganhar', 'prefeitura']",184.0,187.0,169.0,168.0,169.0,2,169.0,uso_produtos
quero saber sobre as vendas dos produtos,venda_aluguel,quero saber sobre as vendas dos produtos,"['quero', 'saber', 'sobre', 'as', 'vendas', 'dos', 'produtos']","['quero', 'saber', 'sobre', 'vendas', 'produtos']","['querer', 'saber', 'sobrar', 'vender', 'produto']",183.0,183.0,183.0,183.0,183.0,5,183.0,venda_aluguel
gostaria de saber sobre as tendências de multas,multa,gostaria de saber sobre as tendências de multas,"['gostaria', 'de', 'saber', 'sobre', 'as', 'tendências', 'de', 'multas']","['gostaria', 'saber', 'sobre', 'tendências', 'multas']","['gostar', 'saber', 'sobrar', 'tendência', 'multar']",73.0,73.0,73.0,73.0,73.0,5,73.0,multa
conselho para implementar ação ambiental,tratamento_ambiental,conselho para implementar ação ambiental,"['conselho', 'para', 'implementar', 'ação', 'ambiental']","['conselho', 'implementar', 'ação', 'ambiental']","['conselho', 'implementar', 'ação', 'ambiental']",165.0,165.0,165.0,165.0,165.0,5,165.0,tratamento_ambiental
quero saber sobre os preços dos produtos alugados pelos empresários,precos,quero saber sobre os preços dos produtos alugados pelos empresários,"['quero', 'saber', 'sobre', 'os', 'preços', 'dos', 'produtos', 'alugados', 'pelos', 'empresários']","['quero', 'saber', 'sobre', 'preços', 'produtos', 'alugados', 'empresários']","['querer', 'saber', 'sobrar', 'preço', 'produto', 'alugar', 'empresário']",103.0,96.0,96.0,96.0,96.0,4,96.0,precos
"obrigado, tchau",encerramento_nao,"obrigado, tchau","['obrigado', 'tchau']","['obrigado', 'tchau']","['obrigar', 'tchau']",157.0,187.0,67.0,67.0,67.0,3,67.0,encerramento_nao
como estão as comercializações?,venda_aluguel,como estão as comercializações?,"['como', 'estão', 'as', 'comercializações']",['comercializações'],['comercialização'],181.0,98.0,98.0,177.0,98.0,3,98.0,precos
me diz o quanto vou ter de dinheiro,previsao_saldo,me diz o quanto vou ter de dinheiro,"['me', 'diz', 'o', 'quanto', 'vou', 'ter', 'de', 'dinheiro']","['diz', 'quanto', 'vou', 'ter', 'dinheiro']","['dizer', 'quantum', 'ir', 'ter', 'dinheiro']",115.0,120.0,120.0,115.0,168.0,2,115.0,previsao_poluicao
quero ganhar mais dinheiro,aumento_producao,quero ganhar mais dinheiro,"['quero', 'ganhar', 'mais', 'dinheiro']","['quero', 'ganhar', 'dinheiro']","['querer', 'ganhar', 'dinheiro']",57.0,57.0,57.0,57.0,57.0,5,57.0,aumento_producao
adeus,encerramento_nao,adeus,['adeus'],['adeus'],['adeus'],162.0,15.0,134.0,67.0,12.0,1,162.0,tratamento_ambiental
ajuda na tomada de decisão para realização de tratamento ambiental,tratamento_ambiental,ajuda na tomada de decisão para realização de tratamento ambiental,"['ajuda', 'na', 'tomada', 'de', 'decisão', 'para', 'realização', 'de', 'tratamento', 'ambiental']","['ajuda', 'tomada', 'decisão', 'realização', 'tratamento', 'ambiental']","['ajudar', 'tomar', 'decisão', 'realização', 'tratamento', 'ambiental']",160.0,160.0,160.0,160.0,160.0,5,160.0,tratamento_ambiental
quantos os produtores irão poluir?,poluicao,quantos os produtores irão poluir?,"['quantos', 'os', 'produtores', 'irão', 'poluir']","['quantos', 'produtores', 'irão', 'poluir']","['quanto', 'produtor', 'ir', 'poluir']",147.0,94.0,94.0,115.0,94.0,3,94.0,poluicao
utilização de produtos,uso_produtos,utilização de produtos,"['utilização', 'de', 'produtos']","['utilização', 'produtos']","['utilização', 'produto']",170.0,137.0,170.0,181.0,137.0,2,170.0,uso_produtos
gostaria de saber sobre as vendas de produtos,venda_aluguel,gostaria de saber sobre as vendas de produtos,"['gostaria', 'de', 'saber', 'sobre', 'as', 'vendas', 'de', 'produtos']","['gostaria', 'saber', 'sobre', 'vendas', 'produtos']","['gostar', 'saber', 'sobrar', 'vender', 'produto']",182.0,182.0,182.0,182.0,182.0,5,182.0,venda_aluguel
quero saber sobre a previsão,previsao_poluicao,quero saber sobre a previsão,"['quero', 'saber', 'sobre', 'a', 'previsão']","['quero', 'saber', 'sobre', 'previsão']","['querer', 'saber', 'sobrar', 'previsão']",142.0,187.0,142.0,38.0,142.0,3,142.0,produtividade
que tipo de preços estão sendo vendido os produtos dos empresários,precos,que tipo de preços estão sendo vendido os produtos dos empresários,"['que', 'tipo', 'de', 'preços', 'estão', 'sendo', 'vendido', 'os', 'produtos', 'dos', 'empresários']","['tipo', 'preços', 'sendo', 'vendido', 'produtos', 'empresários']","['tipo', 'preço', 'ser', 'vender', 'produto', 'empresário']",106.0,106.0,106.0,98.0,106.0,4,106.0,precos
como estão as vendas?,venda_aluguel,como estão as vendas?,"['como', 'estão', 'as', 'vendas']",['vendas'],['vender'],189.0,189.0,189.0,189.0,189.0,5,189.0,venda_aluguel
quero saber sobre a arrecadação de taxas,arrecadacao_imposto,quero saber sobre a arrecadação de taxas,"['quero', 'saber', 'sobre', 'a', 'arrecadação', 'de', 'taxas']","['quero', 'saber', 'sobre', 'arrecadação', 'taxas']","['querer', 'saber', 'sobrar', 'arrecadação', 'taxar']",108.0,42.0,9.0,9.0,9.0,3,9.0,alteracao_taxa
quero saber a previsão de poluição,previsao_poluicao,quero saber a previsão de poluição,"['quero', 'saber', 'a', 'previsão', 'de', 'poluição']","['quero', 'saber', 'previsão', 'poluição']","['querer', 'saber', 'previsão', 'poluição']",108.0,124.0,124.0,124.0,124.0,4,124.0,previsao_poluicao
como estão os preços?,precos,como estão os preços?,"['como', 'estão', 'os', 'preços']",['preços'],['preço'],97.0,97.0,97.0,97.0,97.0,5,97.0,precos
quero ajuda para alteração das taxas,alteracao_taxa,quero ajuda para alteração das taxas,"['quero', 'ajuda', 'para', 'alteração', 'das', 'taxas']","['quero', 'ajuda', 'alteração', 'taxas']","['querer', 'ajudar', 'alteração', 'taxar']",8.0,8.0,3.0,3.0,3.0,3,3.0,alteracao_taxa
dicas em relação a alteração de impostos,alteracao_taxa,dicas em relação a alteração de impostos,"['dicas', 'em', 'relação', 'a', 'alteração', 'de', 'impostos']","['dicas', 'relação', 'alteração', 'impostos']","['dica', 'relação', 'alteração', 'imposto']",2.0,2.0,2.0,2.0,2.0,5,2.0,alteracao_taxa
previsão de poluição,previsao_poluicao,previsão de poluição,"['previsão', 'de', 'poluição']","['previsão', 'poluição']","['previsão', 'poluição']",117.0,111.0,111.0,86.0,111.0,3,111.0,previsao_poluicao
qual tratamento realizar?,tratamento_ambiental,qual tratamento realizar?,"['qual', 'tratamento', 'realizar']","['tratamento', 'realizar']","['tratamento', 'realizar']",156.0,156.0,156.0,156.0,156.0,5,156.0,tratamento_ambiental
gostaria de um conselho em relação a alteração de taxas da prefeitura,alteracao_taxa,gostaria de um conselho em relação a alteração de taxas da prefeitura,"['gostaria', 'de', 'um', 'conselho', 'em', 'relação', 'a', 'alteração', 'de', 'taxas', 'da', 'prefeitura']","['gostaria', 'conselho', 'relação', 'alteração', 'taxas', 'prefeitura']","['gostar', 'conselho', 'relação', 'alteração', 'taxar', 'prefeitura']",7.0,7.0,7.0,7.0,7.0,5,7.0,alteracao_taxa
ajuda na tomada de decisão para alteração de impostos,alteracao_taxa,ajuda na tomada de decisão para alteração de impostos,"['ajuda', 'na', 'tomada', 'de', 'decisão', 'para', 'alteração', 'de', 'impostos']","['ajuda', 'tomada', 'decisão', 'alteração', 'impostos']","['ajudar', 'tomar', 'decisão', 'alteração', 'imposto']",3.0,3.0,3.0,3.0,3.0,5,3.0,alteracao_taxa
quero realizar uma previsão de saldo,,quero realizar uma previsão de saldo,"['quero', 'realizar', 'uma', 'previsão', 'de', 'saldo']","['quero', 'realizar', 'previsão', 'saldo']","['querer', 'realizar', 'previsão', 'saldar']",109.0,109.0,112.0,109.0,112.0,3,109.0,previsao_poluicao
o que os agricultores andam utilizando de produtos,uso_produtos,o que os agricultores andam utilizando de produtos,"['o', 'que', 'os', 'agricultores', 'andam', 'utilizando', 'de', 'produtos']","['agricultores', 'andam', 'utilizando', 'produtos']","['agricultor', 'andar', 'utilizar', 'produto']",170.0,174.0,174.0,174.0,174.0,4,174.0,uso_produtos
tendências em relação aos aluguéis,venda_aluguel,tendências em relação aos aluguéis,"['tendências', 'em', 'relação', 'a', 'os', 'aluguéis']","['tendências', 'relação', 'aluguéis']","['tendência', 'relação', 'aluguel']",191.0,188.0,188.0,188.0,188.0,4,188.0,venda_aluguel
quais são as tendências para arrecadação de taxas?,arrecadacao_imposto,quais são as tendências para arrecadação de taxas?,"['quais', 'são', 'as', 'tendências', 'para', 'arrecadação', 'de', 'taxas']","['quais', 'tendências', 'arrecadação', 'taxas']","['qual', 'tendência', 'arrecadação', 'taxar']",35.0,35.0,35.0,35.0,35.0,5,35.0,arrecadacao_imposto
como estão as compras dos agricultores,uso_produtos,como estão as compras dos agricultores,"['como', 'estão', 'as', 'compras', 'dos', 'agricultores']","['compras', 'agricultores']","['comprar', 'agricultor']",171.0,171.0,171.0,171.0,171.0,5,171.0,uso_produtos
como andam os índices de poluição dos produtores?,poluicao,como andam os índices de poluição dos produtores?,"['como', 'andam', 'os', 'índices', 'de', 'poluição', 'dos', 'produtores']","['andam', 'índices', 'poluição', 'produtores']","['andar', 'índice', 'poluição', 'produtor']",91.0,144.0,91.0,91.0,91.0,4,91.0,poluicao
eu desempenho o papel do agente fiscal,apresentacao_agente_fiscal,eu desempenho o papel do agente fiscal,"['eu', 'desempenho', 'o', 'papel', 'do', 'agente', 'fiscal']","['desempenho', 'papel', 'agente', 'fiscal']","['desempenhar', 'papel', 'agente', 'fiscal']",30.0,30.0,30.0,30.0,30.0,5,30.0,apresentacao_agente_empresario
aconselhamento na aplicação de ações ambientais,tratamento_ambiental,aconselhamento na aplicação de ações ambientais,"['aconselhamento', 'na', 'aplicação', 'de', 'ações', 'ambientais']","['aconselhamento', 'aplicação', 'ações', 'ambientais']","['aconselhamento', 'aplicação', 'ações', 'ambientar']",123.0,123.0,152.0,152.0,152.0,3,152.0,tratamento_ambiental
quero ajuda para aumentar minha produção,aumento_producao,quero ajuda para aumentar minha produção,"['quero', 'ajuda', 'para', 'aumentar', 'minha', 'produção']","['quero', 'ajuda', 'aumentar', 'produção']","['querer', 'ajudar', 'aumentar', 'produção']",53.0,53.0,53.0,53.0,53.0,5,53.0,aumento_producao
aconselhamento para alteração do imposto,alteracao_taxa,aconselhamento para alteração do imposto,"['aconselhamento', 'para', 'alteração', 'do', 'imposto']","['aconselhamento', 'alteração', 'imposto']","['aconselhamento', 'alteração', 'impor']",8.0,5.0,10.0,8.0,10.0,2,8.0,alteracao_taxa
índices de multas,multa,índices de multas,"['índices', 'de', 'multas']","['índices', 'multas']","['índice', 'multar']",75.0,75.0,75.0,74.0,75.0,4,75.0,multa
de que forma os empresários estão vendendo seus produtos?,venda_aluguel,de que forma os empresários estão vendendo seus produtos?,"['de', 'que', 'forma', 'os', 'empresários', 'estão', 'vendendo', 'seus', 'produtos']","['forma', 'empresários', 'vendendo', 'produtos']","['formar', 'empresário', 'vender', 'produto']",106.0,105.0,105.0,181.0,105.0,3,105.0,precos
quais são as tendências de arrecadação pela prefeitura?,arrecadacao_imposto,quais são as tendências de arrecadação pela prefeitura?,"['quais', 'são', 'as', 'tendências', 'de', 'arrecadação', 'pela', 'prefeitura']","['quais', 'tendências', 'arrecadação', 'prefeitura']","['qual', 'tendência', 'arrecadação', 'prefeitura']",42.0,42.0,42.0,42.0,42.0,5,42.0,arrecadacao_imposto
tendência de produtividade,produtividade,tendência de produtividade,"['tendência', 'de', 'produtividade']","['tendência', 'produtividade']","['tendência', 'produtividade']",143.0,143.0,143.0,150.0,143.0,4,143.0,produtividade
índices de produção,produtividade,índices de produção,"['índices', 'de', 'produção']","['índices', 'produção']","['índice', 'produção']",139.0,139.0,139.0,139.0,139.0,5,139.0,produtividade
qual é a tendência de poluição?,poluicao,qual é a tendência de poluição?,"['qual', 'é', 'a', 'tendência', 'de', 'poluição']","['tendência', 'poluição']","['tendência', 'poluição']",40.0,122.0,62.0,62.0,61.0,2,62.0,diminuicao_poluicao
o meu agente é agricultor,apresentacao_agente_agricultor,o meu agente é agricultor,"['o', 'meu', 'agente', 'é', 'agricultor']","['agente', 'agricultor']","['agente', 'agricultor']",22.0,24.0,24.0,31.0,24.0,3,24.0,apresentacao_agente_agricultor
quanto terei de dinheiro?,previsao_saldo,quanto terei de dinheiro?,"['quanto', 'terei', 'de', 'dinheiro']","['quanto', 'dinheiro']","['quantum', 'dinheiro']",43.0,114.0,114.0,43.0,114.0,3,114.0,previsao_saldo
gostaria de saber o que fazer para diminuir a poluição gerada,diminuicao_poluicao,gostaria de saber o que fazer para diminuir a poluição gerada,"['gostaria', 'de', 'saber', 'o', 'que', 'fazer', 'para', 'diminuir', 'a', 'poluição', 'gerada']","['gostaria', 'saber', 'fazer', 'diminuir', 'poluição', 'gerada']","['gostar', 'saber', 'fazer', 'diminuir', 'poluição', 'gerar']",63.0,65.0,63.0,65.0,63.0,3,63.0,diminuicao_poluicao
eu desempenho o papel do agente prefeito,apresentacao_agente_prefeito,eu desempenho o papel do agente prefeito,"['eu', 'desempenho', 'o', 'papel', 'do', 'agente', 'prefeito']","['desempenho', 'papel', 'agente', 'prefeito']","['desempenhar', 'papel', 'agente', 'prefeito']",33.0,33.0,33.0,33.0,33.0,5,33.0,apresentacao_agente_vereador
dica em relação ao tratamento ambiental,tratamento_ambiental,dica em relação ao tratamento ambiental,"['dica', 'em', 'relação', 'a', 'o', 'tratamento', 'ambiental']","['dica', 'relação', 'tratamento', 'ambiental']","['dica', 'relação', 'tratamento', 'ambiental']",163.0,163.0,163.0,163.0,163.0,5,163.0,tratamento_ambiental
diminuição de poluição,diminuicao_poluicao,diminuição de poluição,"['diminuição', 'de', 'poluição']","['diminuição', 'poluição']","['diminuição', 'poluição']",62.0,62.0,62.0,62.0,65.0,4,62.0,diminuicao_poluicao
quero realizar uma previsão,previsao_poluicao,quero realizar uma previsão,"['quero', 'realizar', 'uma', 'previsão']","['quero', 'realizar', 'previsão']","['querer', 'realizar', 'previsão']",111.0,110.0,110.0,111.0,110.0,3,110.0,
quero saber sobre as comercializações de produtos,venda_aluguel,quero saber sobre as comercializações de produtos,"['quero', 'saber', 'sobre', 'as', 'comercializações', 'de', 'produtos']","['quero', 'saber', 'sobre', 'comercializações', 'produtos']","['querer', 'saber', 'sobrar', 'comercialização', 'produto']",182.0,182.0,182.0,182.0,182.0,5,182.0,venda_aluguel
"tchau, até mais",encerramento_nao,"tchau, até mais","['tchau', 'até', 'mais']",['tchau'],['tchau'],69.0,69.0,69.0,69.0,69.0,5,69.0,encerramento_nao
quero ajuda para os tratamentos,tratamento_ambiental,quero ajuda para os tratamentos,"['quero', 'ajuda', 'para', 'os', 'tratamentos']","['quero', 'ajuda', 'tratamentos']","['querer', 'ajudar', 'tratamento']",153.0,153.0,156.0,153.0,156.0,3,153.0,tratamento_ambiental
ajuda na tomada de decisão para alteração de taxas,alteracao_taxa,ajuda na tomada de decisão para alteração de taxas,"['ajuda', 'na', 'tomada', 'de', 'decisão', 'para', 'alteração', 'de', 'taxas']","['ajuda', 'tomada', 'decisão', 'alteração', 'taxas']","['ajudar', 'tomar', 'decisão', 'alteração', 'taxar']",4.0,4.0,4.0,4.0,4.0,5,4.0,alteracao_taxa
gostaria de um conselho para aumentar minha produtividade,aumento_producao,gostaria de um conselho para aumentar minha produtividade,"['gostaria', 'de', 'um', 'conselho', 'para', 'aumentar', 'minha', 'produtividade']","['gostaria', 'conselho', 'aumentar', 'produtividade']","['gostar', 'conselho', 'aumentar', 'produtividade']",50.0,50.0,50.0,50.0,50.0,5,50.0,aumento_producao
quero saber sobre os produtos que estão sendo usados por produtores,uso_produtos,quero saber sobre os produtos que estão sendo usados por produtores,"['quero', 'saber', 'sobre', 'os', 'produtos', 'que', 'estão', 'sendo', 'usados', 'por', 'produtores']","['quero', 'saber', 'sobre', 'produtos', 'sendo', 'usados', 'produtores']","['querer', 'saber', 'sobrar', 'produto', 'ser', 'usar', 'produtor']",178.0,178.0,178.0,178.0,178.0,5,178.0,uso_produtos
quantos porcentos de produção orgânica existem?,producao_organica,quantos porcentos de produção orgânica existem?,"['quantos', 'porcentos', 'de', 'produção', 'orgânica', 'existem']","['quantos', 'porcentos', 'produção', 'orgânica', 'existem']","['quanto', 'porcentos', 'produção', 'orgânico', 'existir']",133.0,147.0,129.0,131.0,131.0,2,131.0,producao_organica
eu desempenho o papel do agente agricultor,apresentacao_agente_agricultor,eu desempenho o papel do agente agricultor,"['eu', 'desempenho', 'o', 'papel', 'do', 'agente', 'agricultor']","['desempenho', 'papel', 'agente', 'agricultor']","['desempenhar', 'papel', 'agente', 'agricultor']",30.0,30.0,30.0,30.0,30.0,5,30.0,apresentacao_agente_empresario
ajuda na tomada de decisão para aumentar minha produtividade,aumento_producao,ajuda na tomada de decisão para aumentar minha produtividade,"['ajuda', 'na', 'tomada', 'de', 'decisão', 'para', 'aumentar', 'minha', 'produtividade']","['ajuda', 'tomada', 'decisão', 'aumentar', 'produtividade']","['ajudar', 'tomar', 'decisão', 'aumentar', 'produtividade']",48.0,48.0,48.0,48.0,48.0,5,48.0,aumento_producao
qual é a média de produtividade dos produtores?,produtividade,qual é a média de produtividade dos produtores?,"['qual', 'é', 'a', 'média', 'de', 'produtividade', 'dos', 'produtores']","['média', 'produtividade', 'produtores']","['médio', 'produtividade', 'produtor']",144.0,144.0,144.0,144.0,144.0,5,144.0,produtividade
quais são os preços mais empregados,precos,quais são os preços mais empregados,"['quais', 'são', 'os', 'preços', 'mais', 'empregados']","['quais', 'preços', 'empregados']","['qual', 'preço', 'empregar']",105.0,99.0,105.0,106.0,105.0,3,105.0,precos
quero saber sobre as compras,uso_produtos,quero saber sobre as compras,"['quero', 'saber', 'sobre', 'as', 'compras']","['quero', 'saber', 'sobre', 'compras']","['querer', 'saber', 'sobrar', 'comprar']",184.0,184.0,184.0,184.0,184.0,5,184.0,venda_aluguel
gostaria de saber sobre os preços,precos,gostaria de saber sobre os preços,"['gostaria', 'de', 'saber', 'sobre', 'os', 'preços']","['gostaria', 'saber', 'sobre', 'preços']","['gostar', 'saber', 'sobrar', 'preço']",101.0,101.0,101.0,101.0,101.0,5,101.0,precos
tendência de uso de produtos,uso_produtos,tendência de uso de produtos,"['tendência', 'de', 'uso', 'de', 'produtos']","['tendência', 'uso', 'produtos']","['tendência', 'usar', 'produto']",138.0,181.0,181.0,138.0,181.0,3,181.0,uso_produtos
quero saber sobre os produtos que estão sendo usados por agricultores,uso_produtos,quero saber sobre os produtos que estão sendo usados por agricultores,"['quero', 'saber', 'sobre', 'os', 'produtos', 'que', 'estão', 'sendo', 'usados', 'por', 'agricultores']","['quero', 'saber', 'sobre', 'produtos', 'sendo', 'usados', 'agricultores']","['querer', 'saber', 'sobrar', 'produto', 'ser', 'usar', 'agricultor']",179.0,179.0,179.0,179.0,179.0,5,179.0,uso_produtos
média de poluição emitida,poluicao,média de poluição emitida,"['média', 'de', 'poluição', 'emitida']","['média', 'poluição', 'emitida']","['médio', 'poluição', 'emitir']",81.0,81.0,81.0,81.0,81.0,5,81.0,poluicao
com que preço estão sendo vendidos os produtos?,precos,com que preço estão sendo vendidos os produtos?,"['com', 'que', 'preço', 'estão', 'sendo', 'vendidos', 'os', 'produtos']","['preço', 'sendo', 'vendidos', 'produtos']","['preço', 'ser', 'vendido', 'produto']",105.0,105.0,105.0,105.0,105.0,5,105.0,precos
quero saber sobre o aluguel,venda_aluguel,quero saber sobre o aluguel,"['quero', 'saber', 'sobre', 'o', 'aluguel']","['quero', 'saber', 'sobre', 'aluguel']","['querer', 'saber', 'sobrar', 'aluguel']",168.0,168.0,196.0,168.0,196.0,3,168.0,uso_produtos
